BMSC        ;4010542984              ;1046 ;07.03.23;          ;-PAGO CHEQUE POR VENTANILLA;Z002                       ;    ;    ;906617          ;          6779.74-;     ;0;07.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1046 ;07.03.23;          ;INDUSTRIAS VENADO S.A.-NC T;Z001                       ;    ;    ;2452-2794613    ;         89000.00 ;     ;0;07.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1046 ;07.03.23;          ;-DEBITO PLANILLA/PROV/TRASP;Z002                       ;    ;    ;7184-8447690    ;        135812.68-;     ;0;07.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1046 ;07.03.23;          ;-DEBITO PLANILLA/PROV/TRASP;Z002                       ;    ;    ;7184-8447691    ;         58205.44-;     ;0;07.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1046 ;07.03.23;          ;-DEBITO ACH - VALOR DEBITO-;Z002                       ;    ;    ;14565-107697    ;        135000.00-;     ;0;07.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1046 ;07.03.23;          ;-DEBITO ACH - VALOR DEBITO-;Z002                       ;    ;    ;14566-100742    ;        171068.00-;     ;0;07.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1046 ;07.03.23;          ;-PAGO CHEQUE POR VENTANILLA;Z002                       ;    ;    ;906614          ;         17068.65-;     ;0;07.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1046 ;07.03.23;          ;MAMANI CARI MARIO-PAGO CHEQ;Z002                       ;    ;    ;906605          ;           355.50-;     ;0;07.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1046 ;07.03.23;          ;MAMANI CARI MARIO-DEPOSITOS;Z001                       ;    ;    ;3770-178362     ;           355.50 ;     ;0;07.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1046 ;07.03.23;          ;-PAGO CHEQUE POR VENTANILLA;Z002                       ;    ;    ;906618          ;          4457.18-;     ;0;07.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ;1046 ;07.03.23;          ;MAMANI CARI MARIO-DEPOSITOS;Z001                       ;    ;    ;3770-178363     ;           672.00 ;     ;0;07.03.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
