BMSC        ;4010640108              ; 740 ;04.01.23;          ;-DEBITO PLANILLA/PROV/TRASP;Z002                       ;    ;    ;7184-8297241    ;         18231.89-;     ;0;08.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010640108              ; 740 ;04.01.23;          ;-ND IMPUESTO ITF-Originador;ZITF                       ;    ;    ;7184-8297241    ;            54.70-;     ;0;08.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010640108              ; 740 ;06.01.23;          ;-DEBITO PLANILLA/PROV/TRASP;Z002                       ;    ;    ;7184-8301130    ;         10000.00-;     ;0;08.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010640108              ; 740 ;06.01.23;          ;-ND IMPUESTO ITF-Originador;ZITF                       ;    ;    ;7184-8301130    ;            30.00-;     ;0;08.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010640108              ; 740 ;06.01.23;          ;-DEBITO ACH - VALOR DEBITO-;Z002                       ;    ;    ;14573-66730     ;          1500.00-;     ;0;08.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010640108              ; 740 ;06.01.23;          ;-DEBITO ACH - ITF VALOR DEB;ZITF                       ;    ;    ;14573-66730     ;             4.50-;     ;0;08.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010640108              ; 740 ;06.01.23;          ;-DEBITO ACH - VALOR DEBITO-;Z002                       ;    ;    ;14559-83872     ;          1500.00-;     ;0;08.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010640108              ; 740 ;06.01.23;          ;-DEBITO ACH - ITF VALOR DEB;ZITF                       ;    ;    ;14559-83872     ;             4.50-;     ;0;08.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010640108              ; 740 ;06.01.23;          ;MAMANI CARI MARIO-DEPOSITOS;Z001                       ;    ;    ;9811-239257     ;          9900.00 ;     ;0;08.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010640108              ; 740 ;06.01.23;          ;MAMANI CARI MARIO-ND ITF-Or;ZITF                       ;    ;    ;9811-239257     ;            29.70-;     ;0;08.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010640108              ; 740 ;06.01.23;          ;-ND TRANSF ENVIADAS-Origina;Z002                       ;    ;    ;677-74834       ;          1500.00-;     ;0;08.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010640108              ; 740 ;06.01.23;          ;-ND ITF-Originador ACH     ;ZITF                       ;    ;    ;677-74834       ;             4.50-;     ;0;08.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010640108              ; 740 ;06.01.23;          ;-ND TRANSF ENVIADAS-Origina;Z002                       ;    ;    ;677-74834       ;            69.97-;     ;0;08.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010640108              ; 740 ;06.01.23;          ;-ND ITF-Originador ACH     ;ZITF                       ;    ;    ;677-74834       ;             0.21-;     ;0;08.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
