BMSC        ;4010542984              ; 990 ;08.12.22;          ;-PAGO CHEQUE POR VENTANILLA;Z002                       ;    ;    ;906341          ;          3682.98-;     ;0;08.12.22;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ; 990 ;08.12.22;          ;-PAGO CHEQUE POR VENTANILLA;Z002                       ;    ;    ;906346          ;          2447.64-;     ;0;08.12.22;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ; 990 ;08.12.22;          ;-CREDITO ACH - VALOR CREDIT;Z001                       ;    ;    ;14552-503749    ;          1225.00 ;     ;0;08.12.22;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ; 990 ;08.12.22;          ;-PAGO CHEQUE POR VENTANILLA;Z002                       ;    ;    ;906343          ;          7081.00-;     ;0;08.12.22;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ; 990 ;08.12.22;          ;-PAGO CHEQUE POR VENTANILLA;Z002                       ;    ;    ;906335          ;          6944.76-;     ;0;08.12.22;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ; 990 ;08.12.22;          ;-CREDITO ACH - VALOR CREDIT;Z001                       ;    ;    ;14545-520456    ;           364.00 ;     ;0;08.12.22;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ; 990 ;08.12.22;          ;-CREDITO ACH - VALOR CREDIT;Z001                       ;    ;    ;6946-674899     ;            83.00 ;     ;0;08.12.22;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ; 990 ;08.12.22;          ;-PAGO CHEQUE POR VENTANILLA;Z002                       ;    ;    ;906351          ;         33000.00-;     ;0;08.12.22;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ; 990 ;08.12.22;          ;-CREDITO ACH - VALOR CREDIT;Z001                       ;    ;    ;14549-511792    ;         52000.00 ;     ;0;08.12.22;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ; 990 ;08.12.22;          ;INDUSTRIAS VENADO S.A.-NC T;Z001                       ;    ;    ;2452-2622380    ;        137000.00 ;     ;0;08.12.22;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ; 990 ;08.12.22;          ;-DEBITO PLANILLA/PROV/TRASP;Z002                       ;    ;    ;7184-8212198    ;         35587.87-;     ;0;08.12.22;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BMSC        ;4010542984              ; 990 ;08.12.22;          ;-DEBITO ACH - VALOR DEBITO ;Z002                       ;    ;    ;14561-66350     ;         65400.00-;     ;0;08.12.22;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
